time	solved
1e-10	0.0
0.15	3.4482758620689653
0.17	10.344827586206897
0.22	13.793103448275861
0.33	17.24137931034483
0.38	20.689655172413794
0.62	24.137931034482758
0.98	27.586206896551722
1.03	31.03448275862069
1.8	34.48275862068966
3.31	37.93103448275862
3.35	41.37931034482759
3.72	44.827586206896555
5.24	48.275862068965516
10.58	51.724137931034484
10.76	55.172413793103445
15.91	58.620689655172406
16.72	62.06896551724138
46.45	65.51724137931035
92.61	68.96551724137932
120.33	72.41379310344827
600.0	72.41379310344827
